（对xl权重量化为int8）评估一和二整合起来的表格,,,,,,,,,
Future Time,Time (Jump) LPIPS,Rollout 1FPS LPIPS,Rollout 4FPS LPIPS,Time (Jump) DreamSim,Rollout 1FPS DreamSim,Rollout 4FPS DreamSim,Time (Jump) FID,Rollout 1FPS FID,Rollout 4FPS FID
1s,0.315,0.34,0.425,0.134,0.149,0.225,38.05,73.07,102.89
2s,0.329,0.381,0.476,0.14,0.184,0.266,37.59,81.74,110.37
4s,0.356,0.444,0.519,0.15,0.224,0.301,36.18,95.63,112.23
8s,0.398,0.515,0.585,0.184,0.327,0.399,44.92,112.87,125.49
16s,0.474,0.593,0.636,0.264,0.431,0.49,64.71,138.99,141.43
,,,,,,,,,
（对xl权重量化为int8）评估三（规划4条路线）,,,,,,,,,
指标,结果,单位,,,,,,,
ATE,2.0106,m,,,,,,,
RPE,0.5459,m,,,,,,,
PN,3.4979,m,,,,,,,
YN,0.8147,rad,,,,,,,
（xl权重）评估三（规划4条路线）,,,,,,,,,
指标,结果,单位,,,,,,,
ATE,1.9159,m,,,,,,,
RPE,0.5255,m,,,,,,,
PN,3.3567,m,,,,,,,
YN,0.6978,rad,,,,,,,
